image_path,sharpness,sobel,brightness,noise,snr,contrast,entropy,saturation,ratiozoom,densite,pourcentage_vert
../../data/plantvillage dataset/color/Tomato___Late_blight/f7be50b3-65ad-4d0d-9c7f-55ab2de07b1b___GHLB_PS Leaf 19 Day 8.jpg,172.49046321748756,20.920670111660158,37.427703857421875,90.65421995180941,0.41286223495517305,53.333667835901444,5.903756505730923,44.98197937011719,0.00386810302734375,4,41.32847332721578
../../data/plantvillage dataset/color/Tomato___Late_blight/77730acc-705a-4b8f-8e3a-dc70bd348d40___GHLB_PS Leaf 32 Day 13.jpg,322.2811418788042,22.87450529329671,29.003021240234375,89.31644992117728,0.3247220558567862,46.4429304808962,5.6896547354522475,204.52281188964844,0.00290679931640625,13,41.05843861895316
../../data/plantvillage dataset/color/Tomato___Late_blight/ac1fbb8a-2a44-4d70-8c93-fc3cc13a876d___GHLB_PS Leaf 17 Day 8.jpg,178.1695394811686,25.803931062881748,44.66184997558594,103.99002461860564,0.42948205983591187,47.476536026151216,8.224313311950189,70.74131774902344,0.4429473876953125,1,42.797730365654296
../../data/plantvillage dataset/color/Tomato___Late_blight/7725973d-b1dd-4da4-abc9-2cc0cc247485___GHLB_PS Leaf 23.3 Day 9.jpg,983.212554872036,46.187220866902784,55.045257568359375,108.40095064614421,0.5077931258005745,60.90606608204471,8.729133252867582,78.16227722167969,0.00949859619140625,44,42.904294134506735
../../data/plantvillage dataset/color/Tomato___Late_blight/b2f89c9a-820c-4a8b-a6dd-bb0adab42757___GHLB_PS Leaf 44.1 Day 18.jpg,203.56387324538082,24.06517808760021,33.63795471191406,96.32238434743002,0.3492226125817613,47.82585003564731,6.279813463507034,67.47184753417969,0.335235595703125,1,46.600334438968964
../../data/plantvillage dataset/color/Tomato___Late_blight/d6ccb948-fdd5-4357-bb6a-c3df838ea465___GHLB_PS Leaf 8.1 Day 8.jpg,192.14230346679688,24.392838001584643,37.9320068359375,102.8369913036233,0.36885566521432284,40.840859628098706,7.564041935521046,63.66621398925781,0.44156646728515625,1,41.604193175128884
../../data/plantvillage dataset/color/Tomato___Late_blight/4bf424a2-b275-4ac0-968c-fe229136f10d___GHLB_PS Leaf 2.5 Day 16.jpg,220.41918935999274,24.45059046616789,34.13102722167969,95.82013437190024,0.35619890793733633,50.171318418520066,6.640316026690716,58.452972412109375,0.005035400390625,16,41.97488144838836
../../data/plantvillage dataset/color/Tomato___Late_blight/bb1cfbc3-b8eb-4a56-9313-86cffbea4524___GHLB_PS Leaf 30.1 Day 13.jpg,177.3624267578125,15.462520756815632,16.154281616210938,89.65199212182665,0.18018876361675426,28.049833109851413,5.236501353443139,59.82957458496094,0.28336334228515625,1,47.32186714038269
../../data/plantvillage dataset/color/Tomato___Late_blight/eb816984-283e-4a3b-846d-9bf24b1cce8d___GHLB_PS Leaf 37.2 Day 13.jpg,187.03323364257812,15.62988530705948,18.73504638671875,85.8148961316977,0.21831928058231992,33.389870370842075,4.73377950670248,50.27790832519531,0.0016326904296875,1,45.957441478902346
../../data/plantvillage dataset/color/Tomato___Late_blight/09cdb8a4-0c20-4acd-b4c8-709fad7010fd___GHLB_PS Leaf 37 Day 16.jpg,252.36294555664062,19.740632446148673,18.623748779296875,83.60204321998566,0.22276667007158427,37.79686862093494,4.470604298824417,46.94151306152344,0.0065460205078125,19,44.80373997643857
